COUNTRY,QUOTE,CHANGE,CHANGEPRC,LOCAL,CODE
New Zealand,9870.56,-55.52,-0.56,17:59,NZL
Australia,5188.70,-102.00,-1.93,17:23,AUS
Japan,17818.72,-246.69,-1.37,15:15,JPN
"Korea, South",1724.86,39.40,2.34,18:03,KOR
Taiwan,9663.63,-44.43,-0.46,04:01,TWN
China,2780.64,46.12,1.69,15:59,CHN
Hong Kong,23280.06,194.27,0.84,16:00,HKG
Singapore,2451.35,11.08,0.45,16:59,SGP
Philippines,5342.31,-66.21,-1.22,12:50,PHL
Malaysia,1330.90,8.24,0.62,17:05,MYS
Vietnam,680.23,17.70,2.67,04:01,VNM
Thailand,1139.05,33.54,3.03,15:59,THA
Indonesia,4531.69,65.65,1.47,15:15,IDN
India,28265.31,-1203.18,-4.08,04:01,IND
Russia,1012.84,25.09,2.54,12:12,RUS
United Kingdom,5484.60,30.03,0.55,10:11,GBR
France,4222.47,15.23,0.36,11:12,FRA
Germany,9561.00,16.25,0.17,11:11,DEU
Turkey,89007.44,-77.69,-0.09,11:57,TUR
Ukraine,509.85,0.00,0.00,04:01,UKR
Hungary,32361.34,0.00,0.00,04:01,HUN
Austria,1982.37,36.18,1.86,10:57,AUT
Poland,40971.63,-57.19,-0.14,10:56,POL
Czech,778.89,8.22,1.07,10:56,CZE
Greece,542.50,6.05,1.13,11:56,GRC
Italy,18134.71,69.94,0.39,11:12,ITA
Spain,649.38,-2.46,-0.38,10:57,ESP
Portugal,2785.53,-9.59,-0.34,09:57,PRT
Ireland,4954.95,-36.02,-0.72,09:57,IRL
Belgium,2908.10,68.68,2.42,11:11,BEL
Luxembourg,805.254,-3.97,-0.49,16:02,LUX
Netherlands,476.28,4.98,1.06,11:12,NLD
Finland,7698.11,83.46,1.10,11:56,FIN
Norway,661.96,-1.38,-0.21,12:11,NOR
Switzerland,9218.50,49.52,0.54,11:12,CHE
Israel,1287.25,3.10,0.24,12:11,ISR
Egypt,884.58,9.59,1.10,11:11,EGY
South Africa,41118.99,1091.58,2.73,10:56,ZAF
Jordan,1668.18,0.00,0.00,03:16,JOR
United Arab Emirates,3699.63,-45.48,-1.21,12:56,ARE
Nigeria,22118.9,-670.74,-2.94,15:30,NGA
United States,7360.58,-339.52,-4.41,10:56,USA
Canada,12876.37,-502.38,-3.76,11:12,CAN
Brazil,70966.70,-2053.06,-2.81,11:56,BRA
Mexico,33691.88,-862.65,-2.50,12:11,MEX
Argentina,25324.28,940.04,3.85,11:12,ARG
Chile,3421.39,-66.10,-1.90,12:11,CHL
Venezuela,105616,4421,4.37,11:11,VEN
Colombia,1063.03,-60.82,-5.41,10:56,COL
Jamaica,377599,-1644,-0.43,03:16,JAM
Peru,13900.05,-563.91,-3.90,12:53,PER
Costa Rica,9247.46,0.00,0.00,12:56,CRI
Ecuador,208.71,0.00,0.00,15:30,ECU